n,density,exhaustive_weight,exhaustive_time,exhaustive_ops,exhaustive_configs,greedy_weight,greedy_time,greedy_ops,precision
4,0.125,40.510748202013055,0.02002716064453125,15,15,40.510748202013055,0.010013580322265625,10,1.0
4,0.25,21.00690491407324,0.015974044799804688,15,15,21.00690491407324,0.0059604644775390625,9,1.0
4,0.5,13.960432184892817,0.01621246337890625,15,15,21.00690491407324,0.0059604644775390625,9,1.5047460304850528
4,0.75,11.784197162992587,0.017881393432617188,15,15,11.784197162992587,0.006198883056640625,7,1.0
5,0.125,46.45292269701534,0.027894973754882812,31,31,60.14987559003365,0.009059906005859375,15,1.2948566440556464
5,0.25,37.230214945934684,0.029802322387695312,31,31,60.14987559003365,0.007867813110351562,15,1.615619885014971
5,0.5,17.726371657994868,0.034809112548828125,31,31,17.726371657994868,0.0050067901611328125,9,1.0
5,0.75,13.696952893018315,0.03719329833984375,31,31,17.726371657994868,0.0059604644775390625,9,1.2941835893317886
6,0.125,56.71393645160712,0.05602836608886719,63,63,56.71393645160712,0.009059906005859375,20,1.0
6,0.25,43.016983558588805,0.06103515625,63,63,43.25885052410744,0.009059906005859375,18,1.0056225924160678
6,0.5,23.755007236167618,0.07009506225585938,63,63,37.451960129185935,0.009059906005859375,18,1.5765922425047443
6,0.75,10.766360011984911,0.07987022399902344,63,63,10.766360011984911,0.006198883056640625,11,1.0
7,0.125,50.24129745942632,0.11968612670898438,127,127,79.32195922449799,0.012159347534179688,28,1.5788198799713824
7,0.25,30.7374541714865,0.12803077697753906,127,127,40.55613961413698,0.010967254638671875,25,1.3194371722482714
7,0.5,4.05185405428548,0.1659393310546875,127,127,4.05185405428548,0.0069141387939453125,13,1.0
7,0.75,4.05185405428548,0.16999244689941406,127,127,4.05185405428548,0.007867813110351562,13,1.0
8,0.125,42.881037721788594,0.2589225769042969,255,255,71.15165244200912,0.014066696166992188,35,1.6592800972690953
8,0.25,34.64736688215763,0.2727508544921875,255,255,71.15165244200912,0.0152587890625,35,2.0535947993972994
8,0.5,23.515638335668797,0.3387928009033203,255,255,27.567492389954275,0.012874603271484375,26,1.1723046594120976
8,0.75,2.508201793381221,0.37789344787597656,255,255,4.05185405428548,0.009059906005859375,15,1.6154418137239723
9,0.125,46.800170558338465,0.5409717559814453,511,511,62.21317853222213,0.015974044799804688,44,1.3293365769825705
9,0.25,28.789465656636843,0.6320476531982422,511,511,36.05261480553237,0.014781951904296875,39,1.2522849585164548
9,0.5,11.405298144615994,0.7798671722412109,511,511,13.745152990966002,0.0152587890625,30,1.205155079392165
9,0.75,2.3398548463500077,0.8449554443359375,511,511,2.3398548463500077,0.009775161743164062,17,1.0
10,0.125,57.641779941214395,1.1336803436279297,1023,1023,95.95583522193733,0.020265579223632812,55,1.664692438710208
10,0.25,38.421530644654425,1.2259483337402344,1023,1023,39.990149902228914,0.016927719116210938,45,1.040826568625858
10,0.5,16.11406883008806,1.6620159149169922,1023,1023,19.59499652513524,0.017881393432617188,34,1.2160179239490168
10,0.75,5.24121033682823,1.7211437225341797,1023,1023,6.521843397601583,0.012874603271484375,27,1.2443391847441752
11,0.125,57.90792019362073,2.371072769165039,2047,2047,84.65977467233115,0.0209808349609375,65,1.4619722896153584
11,0.25,27.30873431419253,2.7778148651123047,2047,2047,28.589367374965885,0.02193450927734375,51,1.0468946325391506
11,0.5,2.3398548463500077,3.4580230712890625,2047,2047,2.3398548463500077,0.011920928955078125,21,1.0
